Title	Year	Genre	Developer	HD / Floppy	PAL / NTSC	Model	Notes	Source	HD install notes	No. of disks (if floppy game)
Agony	1992	Action	Art & Magic	Floppy	PAL	A500	Needs joystick. Supports at least 2 floppy drives.	SPS 0960		3
Altered Destiny	1991	Adventure	Accolade	HD	NTSC	A500	Very long initial loading time. Use warp mode or the provided save state to get past that and the codewheel check as well.	SPS 0237	Has HD Installer.	
Ambermoon	1993	RPG	Thalion	HD	PAL	A500	Official v1.07 English version (never published due to the demise of Thalion), plus Meynaf's v1.07 patch.  The game is configured for a fast processor and plenty of memory, so you should be able to enable the display of the ground and the ceiling in 3D areas in the game's options menu.  To start the game, double-click on the Ambermoon disk icon then on the Ambermoon icon.	Disk images from the Thalion Webshrine: http://thalion.exotica.org.uk/games/ambermoon/credits/credits.html	Has HD Installer.	
Amberstar	1992	RPG	Thalion	HD	PAL	A500	v1.96 English release  Starting a new game  This game is quite special; you can only create your character as part of the hard drive installation process. You must follow the below steps before you can start playing the game.  1. Start the "Amberstar [start new game]" configuration.  2. Double-click on the "Amber_A" disk icon, then double-click on the "Install to HD" icon. Wait until the character loading screen appears (use warp mode; it takes a long time).  3. Create your character, then press OK.  4. Click on the right HD icon when the “Install where?” question appears. Enter DH1:AMBERSTAR for the path name.  5. Turn on warp mode again and wait a few minutes until the “Installation complete” message appears. Press the left mouse button to exit the installer.  6. Now you can start the game with the "Amberstar" configuration.  Restarting the game with a new character  Delete the "$RML_AMIGA\Amberstar\Harddisk\AMBERSTAR" folder and repeat the above steps.	SPS 1969	Has HD Installer.	
Another World	1991	Adventure	Platformer	HD	PAL	A500	To skip the intro, press C and enter the EDJI continuation code.  Original release with the copy protection intact. The Kixxx/Delphine Classic Collection re-release has the copy protection bypassed (cracked), but the end credits are buggy (some names are missing).	SPS 0425	Copied files to HD as per instructions.	
Antheads: It Came From the Desert II	1990	Adventure	Cinemaware	HD	NTSC	A500	Uses CopyLock.	"ICFTD1and2-HD [It Came From The Desert 1 & 2 merged binaries, and HD installable].lzx" from the EAB file server	Fan-made HD installer.	
Arazok's Tomb	1987	Adventure	The Next Frontier	HD	NTSC	A500	AmigaBASIC game.	Abaddon's "unofficial" IPF image.	No HD installer; copied files to HD manually (Amiga BASIC game, no disk-based protection).	
Archipelagos	1989	Puzzle	Astral	Floppy	PAL	A500	Uses CopyLock.	SPS 0627		1
Archon: The Light and the Dark	1986	Strategy	Free Fall Associates	Floppy	NTSC	A500		SPS 2778		1
Arkanoid	1987	Action	Taito	Floppy	NTSC	A500		SPS 1519		1
Art of GO, The	1987	Board	James R. Logan, Jr	HD	NTSC	A500		Abaddon's "unofficial" IPF image.	No HD installer; copied files to HD manually (has no disk-based copy protection according to the manual).	
Aufschwung Ost	1993	Strategy	Sunflowers Interactive	Floppy	PAL	A500	Has disk-based protection. Can use only DF0: for the game disk, but you can set the save disk location to DF1: or DF2: in the options menu.	SPS 0429		2
Balance of Power: Geopolitics in the Nuclear Age	1986	Strategy	Chris Crawford	Floppy	NTSC	A500	A "disk invalid" dialog will pop-up 3-4 times; this is normal, just keep pressing cancel. Once the pop-ups are gone, double-click on the BOP disk icon, then on the Balance of Power icon to start the game. No mouse pointer on more than 512 KB Chip RAM.	SPS 2374		1
Balance of Power: The 1990 Edition	1989	Strategy	Chris Crawford	Floppy	NTSC	A500		SPS 1818	No HD installer; copied files to HD manually.	1
Bard's Tale II, The: The Destiny Knight	1988	RPG	Interplay	HD	NTSC	A500	Has no disk-based protection according to the manual.	SPS 0046	No HD installer; copied files to HD manually and made the necessary assigns.	
Bard's Tale III, The: Thief of Fate	1991	RPG	Interplay	HD	NTSC	A500		SPS 0300	Has HD installer.	
Bard's Tale, The: Tales of the Unknown	1986	RPG	Interplay	Floppy	NTSC	A500	A blank character disk in in DF1: (the manual describes how to create one).  If you accidentally clicked on the left icon in the top-right corner and you're now on the blue Workbench screen, this is how to return to the game screen:  1. Shrink the window by clicking and dragging its bottom-right handle. 2. Drag it down by its titlebar to expose the top bar with Workbench screen written on it. 3. Click on the first icon in the top-right corner on the Workbench screen bar.	SPS 1978		1
Battle Chess (CD32)	1994	Board	Interplay	CD	NTSC	CD32	Same as CDTV version.	TOSEC-ISO Battle Chess (1994)(Interplay)[!]		
Battle Chess (OCS)	1988	Board	Interplay	HD	NTSC	A500	Double-click on the BattleChess disk icon then on the BattleChess icon to start the game.	SPS 0263	Has HD installer.	
Battle Chess II: Chinese Chess	1990	Board	Interplay	HD	NTSC	A500		SPS 0264	Has HD installer.	
Battle Isle	1991	Strategy	Blue Byte	HD	PAL	A500	Double-click on the BattleIsle disk icon then on the Start icon to start the game, or the Intro icon to watch the intro then start the game.	SPS 1991	Has HD installer.	
Battle Isle '93: The Moon Of Chromos	1993	Strategy	Blue Byte	HD	PAL	A500	Double-click on the BattleIsle disk icon then on the Start icon to start the game, or the Intro icon to watch the intro then start the game.	SPS 0667	Has HD installer.	
Battle Isle: Scenario Disk 1 – Air-Land-Sea	1992	Strategy	Blue Byte	HD	PAL	A500		SPS 1991 SPS 0460	Has HD installer.	
Beneath a Steel Sky (CD32)	1994	Adventure	Revolution	CD	PAL	CD32		TOSEC-ISO Beneath a Steel Sky (1994)(Virgin)(M4)[!].zip		
Black Cauldron, The	1987	Adventure	Sierra	Floppy	NTSC	A500	Floppy game that saves to the hard disk. When save or restoring the game, enter Save: for the volume name, with the semicolon at the end (this is important).	SPS 2057		1
Black Crypt	1992	RPG	Raven	HD	NTSC	A500		SPS 0281	Has HD installer.	
Block Out	1990	Puzzle	PZK	HD	NTSC	A500		SPS 0280	No HD installer; copied files to HD manually.	
BloodNet (AGA)	1994	Adventure	MicroProse	HD	NTSC	A1200		SPS 1667	Has HD installer.	
Borrowed Time	1986	Adventure	Interplay	Floppy	NTSC	A500	Saves to the game disk.	SPS 2933		1
Boston Bomb Club	1991	Puzzle	Silmarils	Floppy	NTSC50	A500		SPS 1502		1
Buck Rogers: Countdown to Doomsday	1990	RPG	SSI	HD	NTSC	A500		SPS 1994	Has HD installer.	
Budokan: The Martial Spirit	1989	Action	Electronic Arts	Floppy	NTSC50	A500		SPS 1215		2
Cadaver	1990	Adventure	Bitmap Brothers	Floppy	NTSC50	A500		SPS 2876		2
Cadaver: The Last Supper	1991	Adventure	Bitmap Brothers	Floppy	NTSC50	A500	Exclusive demo level featured on Zero Coverdisk 15 (Issue 23, September 1991). Type 3 when prompted to start the game.	Zero Coverdisk 15 (Issue 23, September 1991)		1
Cadaver: The Payoff	1991	Adventure	Bitmap Brothers	Floppy	NTSC50	A500	Levels disk for the original game.	SPS 2876 SPS 0820		2
Cannon Fodder (CD32)	1994	Strategy	Sensible	CD	PAL	CD32	Modified version by cd32.co.uk that replaces the MPEG intro with CDXL-format video (can be played on a standard CD32 without the rare FMV module).	Cannon Fodder Standalone (2015-05-28)(Virgin)[f www.cd32.co.uk][CDXL].zip		
Cannon Fodder (OCS)	1993	Strategy	Sensible	Floppy	PAL	A500	Supports 4 floppy drives. No disk swapping necessary, save disk is in DF3:	SPS 0860		3
Captain Blood	1988	Adventure	ERE Informatique	Floppy	NTSC50	A500		SPS 0443		1
Captive	1990	RPG	Mindscape	Floppy	PAL	A500	v1.2, contains a number important bug and crash fixes. Supports 4 floppy drives. No disk swapping necessary, save disk is in DF1: Uses CopyLock.	SPS 2164		1
Case of the Cautious Condor, The (CDTV)	1991	Adventure	Tiger Media	CD	NTSC50	CDTV	You can use either the mouse or a gamepad in port 2 to control the game.	Non-TOSEC ISO Case of the Cautious Condor, The (1990)(Tiger Media)[!].zip		
Castle Master	1990	Adventure	Incentive	HD	PAL	A500	Type E then press Enter when prompted to start the game. Saves to the game hard drive. Original uses CopyLock, but this is the 1992 The Hit Squad re-release which has the disk-based protection removed.	SPS 2773	No HD installer; copied files to HD manually (this budget re-release has the disk-based copy protection removed).	1
Castle Master II: The Crypt	1990	Adventure	Incentive	Floppy	PAL	A500	Type 2 then press Enter when prompted to start the game. Saves to the game disk. Uses CopyLock	SPS 0612		1
Castles	1992	Strategy	Interplay	HD	NTSC	A500	Contains the Northern Campaigns scenario expansion. 	SPS 2381 CastlesNorthernC [Castles Northern Campaign Original Disk (startup) + the generated ones.].zip from the EAB file server	Has HD installer.	
Centurion: Defender of Rome	1991	Strategy	Bits of Magic	HD	NTSC	A500		SPS 1945	Has HD installer.	
Champions of Krynn	1990	RPG	SSI	HD	NTSC	A500	To start the game, double-click on the ChampionsOfKrynn disk icon, then on the ChampionsOfKrynn icon.	SPS 0986	Has HD installer.	
Code Name: ICEMAN	1990	Adventure	Sierra	HD	NTSC	A500		SPS 0468	Has HD installer.	
Colonels' Bequest, The	1990	Adventure	Sierra	HD	NTSC	A500		SPS 0796	Has HD installer.	
Conquests of Camelot: The Search for the Grail	1990	Adventure	Sierra	HD	NTSC	A500	To start the game, double-click on the Camelot disk icon, then on the Camelot icon.	SPS 1112	Has HD installer.	
Corruption	1988	Adventure	Magnetic Scrolls	HD	PAL	A500	Needs OCS; the intro screen is corrupted on ECS Agnus. Right-click on the top of the screen and drag it down to see the illustrations. Make sure to listen to the audio tape in the Extras folder.	SPS 0308	Copied files to HD as per instructions.	
Cruise for A Corpse	1991	Adventure	Delphine	HD	NTSC50	A500	This is a rare hard drive installed game that can only save to a floppy in DF0: or the RAM: drive	SPS 1884	Copied files to HD as per instructions.	
Curse of the Azure Bonds	1991	RPG	SSI	HD	NTSC	A500		SPS 0982	Has HD installer.	
Dark Queen of Krynn, The	1992	RPG	SSI	HD	NTSC	A500	Plays different music with 2 MB Fast RAM available. To start the game, double-click on the TheDarkQueenOfKrynn disk icon, then on the TheDarkQueenOfKrynn icon.	SPS 0988	Has HD installer.	
Dark Seed (CD32)	1994	Adventure	Cyberdreams	CD	NTSC	CD32		Non-TOSEC ISO Darkseed v1.1 (1994)(Cyberdreams)[NTSC_full_fix_Ross].zip		
Dark Side	1989	Adventure	Incentive	Floppy	PAL	A500	Saves to the game disk. Uses CopyLock.	SPS 1099		1
Death Knights of Krynn	1991	RPG	SSI	HD	NTSC	A500	To start the game, double-click on the DeathKnightsOfKrynn disk icon in the middle, then on the DeathKnightsOfKrynn icon. Configured to load Champions of Krynn save games when selecting CHAMPIONS in the load game menu.	SPS 0987	Has HD installer.	
Defender of the Crown (CDTV)	1991	Strategy	Cinemaware	CD	NTSC	CDTV		Defender of the Crown (Europe).zip		
Defender of the Crown (OCS)	1986	Strategy	Cinemaware	Floppy	NTSC	A500	Supports 2 floppy drives. Uses CopyLock.	SPS 0902		2
Defender of the Crown II (CD32)	1993	Strategy	Sach Enterprises	CD	NTSC	CD32	You can use either the mouse or a gamepad in port 2 to control the game.	Non-TOSEC ISO, US release Defender of the Crown II (USA) (En,Fr,De,Es,It).zip		
Deja Vu II: Lost in Las Vegas!!	1989	Adventure	ICOM	HD	NTSC	A500	The game disk must be present in DF0: when you start the game for the disk-based copy protection check.	Abaddon's "unofficial" CT-RAW image.	Has HD installer.	
Deja Vu: A Nightmare Comes True!!	1986	Adventure	ICOM	Floppy	NTSC	A500	Type Save:YourSavegameName in the dialog when saving the game (you can use any name you like after the Save: part).	Abaddon's "unofficial" IPF image.		1
Demon's Winter	1989	RPG	SSI	HD	NTSC	A500	The game files get modified as you progress through the game, so it's recommended to delete the Harddisk folder and restore it from Sources\DemonsWinter_Harddisk.zip when starting a new game.  Spell list used for the copy protection check is in Appendix D of the manual (page 26).	SPS 1995	No HD installer; copied files to HD manually (has no disk-based copy protection according to the manual).	
Distant Armies: A Playing History of Chess	1988	Board	Eagle Tree	HD	NTSC	A500	Needs narrator.device for the speech. To start the game, double-click on the DistantArmies disk icon, then on the DistantArmies icon.	SPS 2551	Copied files to HD as per instructions (has no disk-based copy protection according to the manual).	
Dragon Wars	1990	RPG	Interplay	HD	NTSC50	A500	v1.2 EU release, crashes on any encounter when an NTSC chipset is used (it's either a bug or some crude for or region locking)	SPS 3098	Copied files to HD as per instructions.	
Dragonstone (CD32)	1994	RPG	Core Design	CD	PAL	CD32		Redump Dragonstone (Europe) (En,Fr,De)		
Dragonstone (OCS)	1994	RPG	Core Design	Floppy	PAL	A500	Supports four floppy drives, no disk swapping necessary.	SPS 0471		4
DreamWeb (AGA)	1994	Adventure	Creative Reality	HD	PAL	A1200	Uncensored European version.	SPS 1815	Has HD installer.	
